scheduled_date,player_name,position,team_market,rec_rec,rec_yds,targets,grades_pass_route,pff_snaps,avg_depth_of_target,drop_rate,route_rate,slot_rate,wide_rate,yards_per_reception,yprr
2024-09-07,Jamoi Mayes,WR,Cincinnati,1,8,51.0,57.0,587.0,11.7,9.4,95.7,10.9,89.1,12.0,1.04
2024-09-07,Keagan Johnson,WR,Kansas State,1,8,41.0,60.7,455.0,8.9,9.7,98.0,3.7,96.3,12.6,1.46
2024-09-07,Dontae Fleming,WR,Tulane,1,12,46.0,66.8,571.0,15.3,11.4,94.4,10.9,89.1,19.3,1.98
2024-09-07,Dontae Fleming,WR,Tulane,1,53,46.0,66.8,571.0,15.3,11.4,94.4,10.9,89.1,19.3,1.98
2024-09-07,Jayce Brown,WR,Kansas State,1,17,74.0,65.5,687.0,14.3,11.3,96.3,76.9,22.3,17.4,2.27
2024-09-07,Mario Williams,WR,Tulane,1,7,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Mario Williams,WR,Tulane,1,37,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Mario Williams,WR,Tulane,1,17,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Yulkeith Brown,WR,Tulane,1,28,53.0,72.9,451.0,12.1,5.4,94.7,78.9,15.8,13.2,1.98
2024-09-07,Dontae Fleming,WR,Tulane,1,15,46.0,66.8,571.0,15.3,11.4,94.4,10.9,89.1,19.3,1.98
2024-09-07,Keagan Johnson,WR,Kansas State,1,10,41.0,60.7,455.0,8.9,9.7,98.0,3.7,96.3,12.6,1.46
2024-09-07,Mario Williams,WR,Tulane,1,47,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Keagan Johnson,WR,Kansas State,1,33,41.0,60.7,455.0,8.9,9.7,98.0,3.7,96.3,12.6,1.46
2024-09-07,Mario Williams,WR,Tulane,1,22,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Mario Williams,WR,Tulane,1,-2,93.0,82.7,521.0,15.6,7.8,92.6,26.6,73.1,17.5,3.45
2024-09-07,Yulkeith Brown,WR,Tulane,1,3,53.0,72.9,451.0,12.1,5.4,94.7,78.9,15.8,13.2,1.98
2024-09-07,Dontae Fleming,WR,Tulane,1,17,46.0,66.8,571.0,15.3,11.4,94.4,10.9,89.1,19.3,1.98
2024-09-07,Devin McCuin,WR,UTSA,1,5,63.0,73.6,402.0,7.1,2.1,96.4,37.1,62.9,9.0,1.73
